"","UNIVERSITY.NAME","STATUS","TARGET.MAJOR","TERM","GRE.Q.","GRE.V.","GRE.AWA.","GRE.TOTAL.","TOEFL","UG.COLLEGE","UG.MAJOR","CGPA","PAPERS","WORK.EXPERIENCE.M."
"341","University of California, Irvine","Reject","Computer Science","Fall 2018",170,155,3,325,106,"IIT Kanpur","Electrical Engineering",7.8,0,17
"342","Rice University","Admit","Chemical Engineering","Fall 2019",170,152,4,322,110,"IIT Kanpur","Chemical Engineering",8.9,0,0
"343","North Carolina State University","Admit","Computer Science","Fall 2020",169,155,4,324,109,"IIT Kharagpur","Electrical Engineering",8.26,0,18
"344","Columbia University","Admit","Computer Science","Fall 2020",170,154,4.5,324,112,"IIT Kharagpur","Electrical Engineering",9.1,2,0
"345","University of Illinois, Urbana Champaign","Reject","Computer Science","Fall 2020",170,146,3,316,100,"IIT Kharagpur","Electrical Engineering",8.21,0,29
"346","Arizona State University","Admit","Computer Science","Fall 2020",165,150,4,315,109,"IIT Kharagpur","Mining Engineering",7.5,0,20
"347","University of California, Irvine","Admit","Computer Science","Fall 2020",169,153,3,322,98,"IIT Kharagpur","Electrical Engineering",9.04,0,18
"348","Georgia State University","Admit","AI_ML_DS","Fall 2020",170,149,3,319,100,"IIT Kharagpur","Civil Engineering",6.85,0,66
"349","Carnegie Mellon University","Admit","Computer Science","Fall 2019",170,160,5.5,330,115,"IIT Kharagpur","Computer Science",9.6,0,0
"350","University of Colorado, Boulder","Admit","Mechanical Engineering","Fall 2020",168,158,3.5,326,110,"IIT Kharagpur","Aeronautical Engineering",8.35,0,0
"351","University of California, Berkeley","Reject","Computer Science","Fall 2019",167,152,3,319,104,"IIT Kharagpur","Mechanical Engineering",7.83,0,30
"352","University of Florida, Gainesville","Reject","Computer Science","Fall 2018",166,146,3,312,90,"IIT Kharagpur","Computer Science",7.39,0,0
"353","Texas A&M University, College Station","Admit","Mechanical Engineering","Fall 2018",168,166,4,334,116,"IIT Kharagpur","Mechanical Engineering",7.85,0,41
"354","University of Southern California","Reject","Computer Science","Fall 2019",170,154,4,324,112,"IIT Kharagpur","Computer Science",8.27,0,54
"355","University of Massachusetts, Amherst","Admit","Computer Science","Fall 2019",170,159,4.5,329,111,"IIT Kharagpur","Electrical Engineering",8.43,0,17
"356","Indiana University, Bloomington","Admit","Computer Science","Fall 2020",168,153,4,321,102,"IIT Kharagpur","Aeronautical Engineering",7.71,0,42
"357","Vanderbilt University","Reject","Mechanical Engineering","Fall 2019",170,149,4,319,107,"IIT Kharagpur","Metallurgical Engineering",7,0,0
"358","Carnegie Mellon University","Reject","AI_ML_DS","Fall 2018",157,170,4,327,117,"IIT Kharagpur","Mechanical Engineering",8.44,0,19
"359","Purdue University, West Lafayette","Admit","Business Studies","Fall 2019",168,152,3.5,320,103,"IIT Kharagpur","Chemistry",7.25,0,0
"360","University of Texas, Austin","Admit","Computer Science","Fall 2019",170,157,4,327,116,"IIT Kharagpur","Mechanical Engineering",7,0,0
"361","Cornell University","Reject","Computer Science","Fall 2019",167,152,3,319,104,"IIT Kharagpur","Mechanical Engineering",7.83,0,30
"362","University of Michigan, Ann Arbor","Reject","Mechanical Engineering","Fall 2020",170,147,3.5,317,103,"IIT Kharagpur","Mechanical Engineering",7.3,0,0
"363","Columbia University","Reject","Computer Science","Fall 2018",169,155,4,324,100,"IIT Kharagpur","Mechanical Engineering",8.48,0,0
"364","University of Illinois, Urbana Champaign","Reject","Computer Science","Fall 2018",169,155,4,324,100,"IIT Kharagpur","Mechanical Engineering",8.48,0,0
"365","Purdue University, West Lafayette","Reject","Computer Science","Fall 2019",167,152,3,319,104,"IIT Kharagpur","Mechanical Engineering",7.83,0,30
"366","Pennsylvania State University","Admit","Computer Science","Fall 2020",170,146,3,316,100,"IIT Kharagpur","Electrical Engineering",8.21,0,29
"367","Carnegie Mellon University","Admit","Mechanical Engineering","Fall 2020",160,148,4,308,107,"IIT Kharagpur","Mechanical Engineering",8.46,0,0
"368","McGill University","Reject","Chemical Engineering","Fall 2020",169,155,4.5,324,117,"IIT Kharagpur","Chemical Engineering",9.16,0,3
"369","University of Texas, Dallas","Admit","Computer Science","Fall 2017",168,151,4,319,98,"IIT Kharagpur","Mechanical Engineering",6.71,0,0
"370","New York University","Admit","Computer Science","Fall 2018",167,150,3,317,99,"IIT Kharagpur","Computer Science",8.24,0,0
"371","University of Massachusetts, Amherst","Reject","Computer Science","Fall 2018",166,146,3,312,90,"IIT Kharagpur","Computer Science",7.39,0,0
"372","University of Virginia","Reject","Computer Science","Fall 2019",167,152,3,319,104,"IIT Kharagpur","Mechanical Engineering",7.83,0,30
"373","University of California, Santa Barbara","Admit","Computer Science","Fall 2019",169,155,3,324,101,"IIT Kharagpur","Computer Science",8.44,0,0
"374","Virginia Tech University","Admit","Computer Science","Fall 2019",169,152,4,321,118,"IIT Kharagpur","Electrical Engineering",8.86,1,0
"375","University of Southern California","Admit","Electrical Engineering","Fall 2019",169,159,4.5,328,117,"IIT Kharagpur","Electrical Engineering",9.82,0,2
"376","University of Wisconsin, Madison","Admit","Computer Science","Fall 2017",170,152,3.5,322,107,"IIT Kharagpur","Electrical Engineering",8.8,0,0
"377","University of Minnesota, Twin Cities","Reject","Computer Science","Fall 2017",170,152,3.5,322,107,"IIT Kharagpur","Electrical Engineering",8.8,0,0
"378","University of South Dakota","Admit","Computer Science","Fall 2020",165,150,4,315,109,"IIT Kharagpur","Mining Engineering",7.5,0,20
"379","Duke University","Admit","Management Studies","Fall 2018",169,159,4.5,328,110,"IIT Kharagpur","Mechanical Engineering",8.94,0,0
"380","New York University","Admit","Computer Science","Fall 2019",170,159,4.5,329,111,"IIT Kharagpur","Electrical Engineering",8.43,0,17
"381","Purdue University, West Lafayette","Reject","Mechanical Engineering","Fall 2020",170,147,3.5,317,103,"IIT Kharagpur","Mechanical Engineering",7.3,0,0
"382","University of Pennsylvania","Admit","AI_ML_DS","Fall 2019",170,155,3.5,325,101,"IIT Kharagpur","Electrical Engineering",9.02,0,0
"383","University of Texas, Dallas","Admit","Computer Science","Fall 2018",167,150,3,317,99,"IIT Kharagpur","Computer Science",8.24,0,0
"384","Purdue University, West Lafayette","Reject","Mechanical Engineering","Fall 2019",169,155,4,324,106,"IIT Kharagpur","Mechanical Engineering",7.46,0,0
"385","University of California, San Diego","Reject","Computer Science","Fall 2020",167,155,3.5,322,110,"IIT Kharagpur","Computer Science",8.8,0,0
"386","Arizona State University","Admit","Electrical Engineering","Fall 2018",165,159,4,324,117,"IIT Kharagpur","Electrical Engineering",9.15,0,0
"387","University of Southern California","Reject","Mechanical Engineering","Fall 2020",170,147,3.5,317,103,"IIT Kharagpur","Mechanical Engineering",7.3,0,0
