"","UNIVERSITY.NAME","STATUS","TARGET.MAJOR","TERM","GRE.Q.","GRE.V.","GRE.AWA.","GRE.TOTAL.","TOEFL","UG.COLLEGE","UG.MAJOR","CGPA","PAPERS","WORK.EXPERIENCE.M."
"490","University of California, Los Angeles","Reject","Mechanical Engineering","Fall 2016",169,158,4,327,113,"IIT Roorkee","Mechanical Engineering",8,0,0
"491","Purdue University, West Lafayette","Reject","Mechanical Engineering","Fall 2018",167,152,4,319,99,"IIT Roorkee","Mechanical Engineering",5.7,0,0
"492","Northeastern University","Admit","AI_ML_DS","Fall 2019",164,155,4,319,110,"IIT Roorkee","Biotechnology",7.48,0,30
"493","Purdue University, West Lafayette","Admit","Mechanical Engineering","Fall 2020",168,152,4.5,320,116,"IIT Roorkee","Mechanical Engineering",8.9,0,31
"494","Georgia Institute of Technology","Reject","AI_ML_DS","Fall 2019",169,162,4,331,106,"IIT Roorkee","Chemical Engineering",8.57,0,16
"495","Georgia Institute of Technology","Reject","Computer Science","Fall 2016",169,155,3.5,324,106,"IIT Roorkee","Computer Science",8.19,0,0
"496","Georgia Institute of Technology","Reject","Materials Science & Engineering","Fall 2017",168,153,4,321,105,"IIT Roorkee","Mechanical Engineering",8.6,1,0
"497","University of Wisconsin, Madison","Reject","Computer Science","Fall 2019",170,156,4.5,326,116,"IIT Roorkee","Computer Science",8.78,0,30
"498","University of Florida, Gainesville","Reject","Mechanical Engineering","Fall 2018",167,152,4,319,99,"IIT Roorkee","Mechanical Engineering",5.7,0,0
"499","Columbia University","Admit","Mechanical Engineering","Fall 2019",167,156,3,323,104,"IIT Roorkee","Mechanical Engineering",9.18,0,30
"500","Carnegie Mellon University","Admit","Computer Science","Fall 2020",168,163,4,331,118,"IIT Roorkee","Electrical Engineering",8.8,0,29
"501","University of California, Irvine","Reject","Computer Science","Fall 2020",170,164,4,334,115,"IIT Roorkee","Electrical Engineering",7.71,0,0
"502","Carnegie Mellon University","Reject","Computer Science","Fall 2020",170,158,4,328,113,"IIT Roorkee","Computer Science",9.52,0,18
"503","University of Texas, Dallas","Admit","Computer Science","Fall 2018",165,160,4.5,325,114,"IIT Roorkee","Computer Science",6.65,2,30
"504","University of Massachusetts, Amherst","Admit","Computer Science","Fall 2020",169,158,4,327,116,"IIT Roorkee","Electrical Engineering",8.89,0,0
"505","Pennsylvania State University","Admit","Mechanical Engineering","Fall 2019",170,162,3.5,332,112,"IIT Roorkee","Metallurgical Engineering",7.3,0,0
"506","University of Maryland, College Park","Admit","AI_ML_DS","Fall 2019",169,155,3,324,110,"IIT Roorkee","Electrical Engineering",7.8,0,0
"507","University of Massachusetts, Amherst","Reject","Computer Science","Fall 2020",168,160,4.5,328,100,"IIT Roorkee","Electrical Engineering",7.61,1,31
"508","University of Illinois, Urbana Champaign","Reject","Computer Science","Fall 2019",170,156,4.5,326,116,"IIT Roorkee","Computer Science",8.78,0,30
"509","Georgia Institute of Technology","Admit","Management Studies","Fall 2019",165,159,3,324,106,"IIT Roorkee","Mechanical Engineering",7.75,0,50
"510","University of Massachusetts, Amherst","Reject","Computer Science","Fall 2016",169,155,3.5,324,106,"IIT Roorkee","Computer Science",8.19,0,0
"511","Carnegie Mellon University","Reject","Computer Science","Fall 2017",170,164,4,334,108,"IIT Roorkee","Electrical Engineering",8.46,0,0
"512","University of Texas, Austin","Reject","Computer Science","Fall 2019",170,159,4,329,111,"IIT Roorkee","Electrical Engineering",9.7,2,19
"513","University of Maryland, College Park","Reject","Computer Science","Fall 2020",170,164,4,334,115,"IIT Roorkee","Electrical Engineering",7.71,0,0
"514","Texas A&M University, College Station","Admit","Computer Science","Fall 2017",170,155,4,325,116,"IIT Roorkee","Electrical Engineering",8.5,0,0
"515","University of Illinois, Urbana Champaign","Reject","Computer Science","Fall 2020",170,156,3.5,326,108,"IIT Roorkee","Computer Science",9.19,0,19
"516","Texas A&M University, College Station","Admit","Chemical Engineering","Fall 2017",167,155,3,322,106,"IIT Roorkee","Chemical Engineering",8.21,0,13
"517","University of Illinois, Urbana Champaign","Reject","Computer Science","Fall 2017",170,164,4,334,108,"IIT Roorkee","Electrical Engineering",8.46,0,0
"518","University of Maryland, College Park","Reject","Computer Science","Fall 2016",170,160,4,330,115,"IIT Roorkee","Electrical Engineering",8.04,0,0
"519","Georgia Institute of Technology","Reject","Computer Science","Fall 2019",167,155,3.5,322,105,"IIT Roorkee","Electrical Engineering",8.55,0,0
"520","University of California, Davis","Admit","Computer Science","Fall 2019",170,163,3.5,333,112,"IIT Roorkee","Metallurgical Engineering",8.36,0,0
"521","University of Massachusetts, Amherst","Admit","Computer Science","Fall 2019",170,156,4.5,326,116,"IIT Roorkee","Computer Science",8.78,0,30
"522","University of Michigan, Ann Arbor","Reject","AI_ML_DS","Fall 2019",168,157,4,325,106,"IIT Roorkee","Electrical Engineering",6.94,0,5
"523","University of Pennsylvania","Reject","AI_ML_DS","Fall 2019",169,162,4,331,106,"IIT Roorkee","Chemical Engineering",8.57,0,16
"524","University of Michigan, Ann Arbor","Admit","AI_ML_DS","Fall 2020",169,158,4,327,114,"IIT Guwahati","Electrical Engineering",9.12,0,0
"525","University of Montreal","Reject","Computer Science","Fall 2019",169,149,3,318,103,"IIT Guwahati","Electrical Engineering",8.74,0,17
"526","University of North Carolina, Chapel Hill","Reject","Computer Science","Fall 2019",168,155,3.5,323,103,"IIT Guwahati","Electrical Engineering",7.6,0,0
"527","University of Texas, Austin","Reject","Computer Science","Fall 2013",169,157,3,326,106,"IIT Guwahati","Computer Science",9.5,0,0
"528","Purdue University, West Lafayette","Reject","Computer Science","Fall 2018",166,150,4,316,105,"IIT Guwahati","Physics",7.93,0,0
"529","Arizona State University","Reject","Electrical Engineering","Fall 2018",169,160,5,329,116,"IIT Guwahati","Electrical Engineering",7.48,0,30
"530","University of Massachusetts, Amherst","Admit","Computer Science","Fall 2018",166,150,4,316,105,"IIT Guwahati","Physics",7.93,0,0
"531","University of California, San Diego","Reject","Computer Science","Fall 2013",169,157,3,326,106,"IIT Guwahati","Computer Science",9.5,0,0
"532","State University of New York, Buffalo","Admit","Computer Science","Fall 2019",165,147,3,312,94,"IIT Guwahati","Computer Science",8.21,0,0
"533","Carnegie Mellon University","Admit","Computer Science","Fall 2017",169,146,3,315,95,"IIT Guwahati","Electrical Engineering",8.55,0,0
"534","Pennsylvania State University","Reject","Materials Science & Engineering","Fall 2019",170,158,4,328,110,"IIT Guwahati","Physics",7.04,1,0
"535","New York University","Reject","AI_ML_DS","Fall 2020",165,158,4,323,114,"IIT Guwahati","Electrical Engineering",7.36,0,16
"536","Carnegie Mellon University","Reject","AI_ML_DS","Fall 2020",165,152,4,317,113,"IIT Guwahati","Mechanical Engineering",8.89,0,52
"537","State University of New York, Buffalo","Admit","Computer Science","Fall 2016",168,166,4,334,118,"IIT Guwahati","Electrical Engineering",7,0,0
"538","KTH, Royal Institute of Technology","Admit","Aerospace Engineering","Fall 2020",169,148,4,317,100,"IIT Guwahati","Mechanical Engineering",7.35,0,0
"539","Columbia University","Admit","Computer Science","Fall 2020",170,156,4,326,110,"IIT Guwahati","Mathematics",8.06,0,6
"540","University of Texas, Austin","Reject","Materials Science & Engineering","Fall 2019",170,158,4,328,110,"IIT Guwahati","Physics",7.04,1,0
"541","University of California, San Diego","Reject","Computer Science","Fall 2019",166,160,4,326,115,"IIT Guwahati","Electrical Engineering",8.58,0,19
"542","University of Toronto","Reject","Computer Science","Fall 2020",170,156,4,326,110,"IIT Guwahati","Mathematics",8.06,0,6
"543","University of Pennsylvania","Reject","Electrical Engineering","Fall 2019",166,149,4,315,101,"IIT Guwahati","Physics",8.46,1,4
"544","University of California, Irvine","Reject","Computer Science","Fall 2018",168,157,4.5,325,113,"IIT Guwahati","Electrical Engineering",8.09,4,30
"545","Cornell University","Reject","Computer Science","Fall 2018",168,157,4.5,325,113,"IIT Guwahati","Electrical Engineering",8.09,4,30
"546","Texas A&M University, College Station","Admit","Electrical Engineering","Fall 2018",166,150,4,316,105,"IIT Guwahati","Physics",7.93,0,0
"547","Georgia Institute of Technology","Reject","AI_ML_DS","Fall 2020",165,152,4,317,113,"IIT Guwahati","Mechanical Engineering",8.89,0,52
"548","University of California, Santa Barbara","Reject","Computer Science","Fall 2018",168,159,3.5,327,112,"IIT Guwahati","Computer Science",6.22,0,0
"549","North Carolina State University","Reject","Mechanical Engineering","Fall 2015",161,147,0,308,99,"IIT Guwahati","Mechanical Engineering",8,0,0
"550","University of Massachusetts, Amherst","Admit","Computer Science","Fall 2020",170,156,4,326,110,"IIT Guwahati","Computer Science",8.72,0,30
"551","Texas A&M University, College Station","Admit","Computer Science","Fall 2019",166,156,3.5,322,110,"IIT Guwahati","Electrical Engineering",8.34,0,19
"552","Purdue University, West Lafayette","Reject","Computer Science","Fall 2018",168,157,4.5,325,113,"IIT Guwahati","Electrical Engineering",8.09,4,30
"553","University of Washington","Reject","AI_ML_DS","Fall 2020",165,158,4,323,114,"IIT Guwahati","Electrical Engineering",7.36,0,16
"554","University of California, San Diego","Reject","Computer Science","Fall 2018",168,157,4.5,325,113,"IIT Guwahati","Electrical Engineering",8.09,4,30
"555","University of Illinois, Urbana Champaign","Reject","Computer Science","Fall 2019",169,149,3,318,103,"IIT Guwahati","Electrical Engineering",8.74,0,17
"556","University of California, San Diego","Admit","Computer Science","Fall 2019",166,149,4,315,101,"IIT Guwahati","Physics",8.46,1,4
"557","Georgia Institute of Technology","Admit","Computer Science","Fall 2020",168,163,4.5,331,114,"IIT Guwahati","Electrical Engineering",7.59,1,30
"558","Carnegie Mellon University","Reject","AI_ML_DS","Fall 2019",170,162,4,332,115,"IIT Guwahati","Mathematics",8.81,0,19
"559","New York University","Admit","AI_ML_DS","Fall 2017",170,155,4.5,325,115,"IIT Guwahati","Computer Science",8.35,0,0
"560","Pennsylvania State University","Reject","Computer Science","Fall 2013",169,157,3,326,106,"IIT Guwahati","Computer Science",9.5,0,0
"561","State University of New York, Stony Brook","Admit","Computer Science","Fall 2018",168,157,4.5,325,113,"IIT Guwahati","Electrical Engineering",8.09,4,30
"562","University of California, San Diego","Admit","Computer Science","Fall 2019",170,153,4,323,109,"IIT Guwahati","Computer Science",9.42,1,17
"563","Purdue University, West Lafayette","Admit","Computer Science","Fall 2020",169,158,4,327,114,"IIT Guwahati","Electrical Engineering",9.12,0,0
"564","Virginia Tech University","Admit","Computer Science","Fall 2018",169,160,5,329,116,"IIT Guwahati","Electrical Engineering",7.48,0,30
"565","University of Texas, Dallas","Admit","Computer Science","Fall 2018",163,152,5,315,101,"IIT Guwahati","Computer Science",9.2,0,0
"566","Johns Hopkins University","Admit","Computer Science","Fall 2017",169,146,3,315,95,"IIT Guwahati","Electrical Engineering",8.55,0,0
"567","Ohio State University","Admit","Computer Science","Fall 2016",170,160,3,330,109,"IIT Guwahati","Computer Science",8.36,0,0
"568","McGill University","Reject","Aerospace Engineering","Fall 2020",169,148,4,317,100,"IIT Guwahati","Mechanical Engineering",7.35,0,0
"569","University of Massachusetts, Lowell","Admit","Computer Science","Fall 2017",149,160,2.5,309,95,"IIT Guwahati","Physics",7.96,0,0
"570","University of Texas, Dallas","Admit","Computer Science","Fall 2019",167,152,4,319,110,"IIT Guwahati","Civil Engineering",7.84,0,0
"571","University of California, Los Angeles","Reject","Electrical Engineering","Fall 2019",166,149,4,315,101,"IIT Guwahati","Physics",8.46,1,4
"572","University of Texas, Dallas","Admit","Mechanical Engineering","Spring 2016",170,164,3.5,334,110,"IIT Guwahati","Mechanical Engineering",6.72,0,0
"573","University of Pennsylvania","Reject","AI_ML_DS","Fall 2019",168,155,3.5,323,103,"IIT Guwahati","Electrical Engineering",7.6,0,0
"574","Delft University of Technology","Reject","Aerospace Engineering","Fall 2020",169,148,4,317,100,"IIT Guwahati","Mechanical Engineering",7.35,0,0
"575","University of Texas, Dallas","Admit","Computer Science","Fall 2019",165,148,4,313,102,"IIT Guwahati","Civil Engineering",6.59,4,27
"576","Indiana University, Bloomington","Reject","AI_ML_DS","Fall 2018",167,161,4,328,111,"IIT Guwahati","Civil Engineering",6.13,0,0
"577","University of Texas, Austin","Reject","Computer Science","Fall 2019",168,157,3.5,325,111,"IIT Guwahati","Chemical Engineering",8.54,0,0
"578","University of Wisconsin, Madison","Admit","AI_ML_DS","Fall 2017",167,153,3,320,109,"IIT Guwahati","Electrical Engineering",8.29,0,0
"579","University of Southern California","Reject","Computer Science","Fall 2018",168,157,4.5,325,113,"IIT Guwahati","Electrical Engineering",8.09,4,30
"580","Worcester Polytechnic Institute","Admit","AI_ML_DS","Fall 2017",170,161,3.5,331,105,"IIT Guwahati","Electrical Engineering",8.62,0,0
"581","Georgia Institute of Technology","Reject","Computer Science","Fall 2019",170,162,4,332,115,"IIT Guwahati","Mathematics",8.81,0,19
"582","Michigan Technological University","Admit","Mechanical Engineering","Fall 2015",161,147,0,308,99,"IIT Guwahati","Mechanical Engineering",8,0,0
"583","Texas A&M University, College Station","Reject","Computer Science","Fall 2019",163,155,3,318,107,"IIT Guwahati","Mathematics",7.38,0,43
"584","New York University","Reject","AI_ML_DS","Fall 2020",165,152,4,317,113,"IIT Guwahati","Mechanical Engineering",8.89,0,52
"585","Purdue University, West Lafayette","Reject","Materials Science & Engineering","Fall 2019",170,158,4,328,110,"IIT Guwahati","Physics",7.04,1,0
"586","University of Michigan, Ann Arbor","Admit","Computer Science","Fall 2019",170,158,4,328,109,"IIT Guwahati","Electrical Engineering",9.03,0,19
"587","Colorado School of Mines","Admit","Electrical Engineering","Fall 2017",170,161,3.5,331,105,"IIT Guwahati","Electrical Engineering",8.62,0,0
"588","University of California, Berkeley","Reject","Computer Science","Fall 2013",169,157,3,326,106,"IIT Guwahati","Computer Science",9.5,0,0
"589","University of Alberta","Reject","Computer Science","Fall 2019",169,149,3,318,103,"IIT Guwahati","Electrical Engineering",8.74,0,17
"590","Northeastern University","Reject","AI_ML_DS","Fall 2018",167,161,4,328,111,"IIT Guwahati","Civil Engineering",6.13,0,0
"591","University of Alberta","Reject","Computer Science","Fall 2018",169,160,5,329,116,"IIT Guwahati","Electrical Engineering",7.48,0,30
"592","University of Michigan, Ann Arbor","Reject","Computer Science","Fall 2019",166,160,4,326,115,"IIT Guwahati","Electrical Engineering",8.58,0,19
"593","University of Maryland, College Park","Reject","Computer Science","Fall 2019",165,148,4,313,102,"IIT Guwahati","Civil Engineering",6.59,4,27
"594","University of California, San Diego","Admit","Computer Science","Fall 2020",168,163,3,331,114,"IIT Guwahati","Computer Science",8.48,0,0
"595","Purdue University, West Lafayette","Admit","Business Studies","Fall 2020",165,158,4,323,114,"IIT Guwahati","Electrical Engineering",7.36,0,16
"596","Ohio State University","Admit","Computer Science","Fall 2017",152,167,3.5,319,107,"IIT Guwahati","Electrical Engineering",7.58,0,0
"597","Carnegie Mellon University","Admit","AI_ML_DS","Fall 2019",166,160,4,326,115,"IIT Guwahati","Electrical Engineering",8.58,0,19
"598","New York University","Admit","AI_ML_DS","Fall 2019",170,162,4,332,115,"IIT Guwahati","Mathematics",8.81,0,19
"599","University of California, San Diego","Admit","Computer Science","Fall 2019",166,160,4,326,115,"IIT Guwahati","Electrical Engineering",8.58,0,19
"600","University of Toronto","Reject","Computer Science","Fall 2019",169,149,3,318,103,"IIT Guwahati","Electrical Engineering",8.74,0,17
"601","University of Wisconsin, Madison","Admit","Electrical Engineering","Fall 2020",170,157,4,327,112,"IIT Guwahati","Electrical Engineering",8.7,0,0
"602","Ecole Polytechnique","Admit","Computer Science","Fall 2018",165,149,3,314,98,"IIT Guwahati","Computer Science",9.06,0,0
"603","Boston University","Reject","Computer Science","Fall 2018",169,160,5,329,116,"IIT Guwahati","Electrical Engineering",7.48,0,30
"604","Simon Fraser University","Reject","Computer Science","Fall 2019",169,149,3,318,103,"IIT Guwahati","Electrical Engineering",8.74,0,17
"605","University of California, San Diego","Admit","Computer Science","Fall 2019",170,162,4,332,115,"IIT Guwahati","Mathematics",8.81,0,19
"606","University of Virginia","Reject","Computer Science","Fall 2018",168,159,3.5,327,112,"IIT Guwahati","Computer Science",6.22,0,0
"607","Ohio State University","Reject","Computer Science","Fall 2017",163,148,3.5,311,111,"IIT Guwahati","Electrical Engineering",6,1,4
"608","Texas A&M University, College Station","Admit","Electrical Engineering","Fall 2018",170,155,4,325,109,"IIT Guwahati","Electrical Engineering",8.91,0,0
"609","University of Southern California","Reject","Computer Science","Fall 2020",165,158,4,323,114,"IIT Guwahati","Electrical Engineering",7.36,0,16
"610","Carnegie Mellon University","Admit","Mechanical Engineering","Fall 2020",168,156,4,324,106,"IIT Guwahati","Mechanical Engineering",8.94,1,5
"611","Texas A&M University, College Station","Reject","Electrical Engineering","Fall 2019",166,149,4,315,101,"IIT Guwahati","Physics",8.46,1,4
"612","University of Michigan, Ann Arbor","Reject","Computer Science","Fall 2020",170,156,4,326,110,"IIT Guwahati","Mathematics",8.06,0,6
"613","Pennsylvania State University","Admit","AI_ML_DS","Fall 2019",167,151,3,318,106,"IIT Varanasi","Civil Engineering",7.85,0,0
"614","University of California, Irvine","Reject","Computer Science","Fall 2017",168,155,3,323,106,"IIT Varanasi","Electrical Engineering",8.08,1,17
"615","Delft University of Technology","Reject","Aerospace Engineering","Fall 2020",168,152,4,320,104,"IIT Varanasi","Mechanical Engineering",7.9,0,0
"616","Georgia Institute of Technology","Reject","Civil Engineering","Fall 2019",167,162,4.5,329,113,"IIT Varanasi","Civil Engineering",8.12,0,0
"617","University of Cincinnati","Admit","Computer Science","Fall 2016",167,151,4,318,104,"IIT Varanasi","Civil Engineering",8.33,0,0
"618","University of California, Los Angeles","Admit","Bioengineering","Fall 2019",170,158,4,328,106,"IIT Varanasi","Biomedical Engineering",8.66,0,0
"619","North Carolina State University","Admit","Electrical Engineering","Fall 2017",167,159,3,326,111,"IIT Varanasi","Electrical Engineering",8.51,0,43
"620","University of Colorado, Boulder","Admit","Mechanical Engineering","Fall 2020",168,153,5,321,118,"IIT Varanasi","Mechanical Engineering",8.62,1,7
"621","University of Michigan, Ann Arbor","Reject","Mechanical Engineering","Fall 2015",168,162,4,330,114,"IIT Varanasi","Mechanical Engineering",7.76,0,0
"622","University of Wisconsin, Madison","Reject","Computer Science","Fall 2019",168,160,3,328,110,"IIT Varanasi","Computer Science",8.44,0,0
"623","University of Minnesota, Twin Cities","Admit","Business Studies","Fall 2019",167,151,3,318,106,"IIT Varanasi","Civil Engineering",7.85,0,0
"624","Georgia Institute of Technology","Reject","Computer Science","Fall 2019",167,158,3.5,325,110,"IIT Varanasi","Computer Science",9.15,3,0
"625","Ecole Polytechnique ","Reject","Computer Science","Fall 2019",163,163,3.5,326,114,"IIT Varanasi","Mechanical Engineering",9.36,3,6
"626","University of Michigan, Ann Arbor","Reject","Computer Science","Fall 2019",170,165,4,335,117,"IIT Varanasi","Computer Science",8,0,31
"627","University of California, San Diego","Reject","Computer Science","Fall 2019",170,153,3.5,323,111,"IIT Varanasi","Electrical Engineering",8.61,0,30
"628","University of Wisconsin, Madison","Admit","Computer Science","Fall 2019",163,163,3.5,326,114,"IIT Varanasi","Mechanical Engineering",9.36,3,6
"629","University of California, San Diego","Reject","Mechanical Engineering","Fall 2020",168,153,5,321,118,"IIT Varanasi","Mechanical Engineering",8.62,1,7
"630","University of California, Berkeley","Reject","Electrical Engineering","Fall 2019",167,157,3.5,324,108,"IIT Varanasi","Electrical Engineering",8.64,0,17
"631","University of Massachusetts, Amherst","Admit","Computer Science","Fall 2016",169,160,4,329,117,"IIT Varanasi","Computer Science",8.32,0,0
"632","Cornell University","Reject","Computer Science","Fall 2016",167,153,4,320,108,"IIT Varanasi","Electrical Engineering",8.16,0,0
"633","Carnegie Mellon University","Reject","Computer Science","Fall 2019",167,158,3.5,325,110,"IIT Varanasi","Computer Science",9.15,3,0
"634","Georgia Institute of Technology","Reject","Civil Engineering","Fall 2014",166,157,3.5,323,111,"IIT Varanasi","Civil Engineering",8.4,0,0
"635","Virginia Tech University","Admit","Civil Engineering","Fall 2019",167,162,4.5,329,113,"IIT Varanasi","Civil Engineering",8.12,0,0
"636","University of Maryland, College Park","Admit","Mechanical Engineering","Fall 2019",168,150,3,318,108,"IIT Varanasi","Electrical Engineering",7.47,0,20
"637","University of British Columbia","Reject","Computer Science","Fall 2020",169,153,3.5,322,115,"IIT Varanasi","Electrical Engineering",9.13,0,30
"638","University of California, Los Angeles","Reject","Electrical Engineering","Fall 2017",167,156,0,323,105,"IIT Varanasi","Electrical Engineering",7.72,0,0
"639","State University of New York, Stony Brook","Admit","Computer Science","Fall 2019",152,164,3,316,93,"IIT Varanasi","Electrical Engineering",7.44,0,0
"640","University of California, San Diego","Admit","Computer Science","Fall 2020",169,154,3.5,323,107,"IIT Varanasi","Electrical Engineering",9.77,1,17
"641","Delft University of Technology","Admit","Civil Engineering","Fall 2019",167,162,4.5,329,113,"IIT Varanasi","Civil Engineering",8.12,0,0
"642","Stanford University","Reject","Computer Science","Fall 2020",169,154,3.5,323,107,"IIT Varanasi","Electrical Engineering",9.77,1,17
"643","University of Virginia","Reject","AI_ML_DS","Fall 2019",167,151,3,318,106,"IIT Varanasi","Civil Engineering",7.85,0,0
"644","University of Minnesota, Twin Cities","Admit","Computer Science","Fall 2019",170,153,3.5,323,111,"IIT Varanasi","Electrical Engineering",8.61,0,30
"645","University of Texas, Austin","Reject","Computer Science","Fall 2017",167,156,0,323,105,"IIT Varanasi","Electrical Engineering",7.72,0,0
"646","Texas A&M University, College Station","Admit","Civil Engineering","Fall 2019",167,162,4.5,329,113,"IIT Varanasi","Civil Engineering",8.12,0,0
"647","Columbia University","Admit","Computer Science","Fall 2019",170,165,4,335,117,"IIT Varanasi","Computer Science",8,0,31
"648","University of Pennsylvania","Reject","Computer Science","Fall 2018",170,153,3.5,323,95,"IIT Varanasi","Electrical Engineering",8.02,0,0
"649","Columbia University","Admit","Computer Science","Fall 2019",169,154,3,323,109,"IIT Varanasi","Computer Science",9.57,2,0
"650","Ohio State University","Admit","Aerospace Engineering","Fall 2020",168,152,4,320,104,"IIT Varanasi","Mechanical Engineering",7.9,0,0
"651","New York University","Admit","Business Studies","Fall 2020",169,152,3.5,321,110,"IIT Varanasi","Metallurgical Engineering",9.33,0,0
"652","Georgia Institute of Technology","Reject","Computer Science","Fall 2017",167,159,3,326,111,"IIT Varanasi","Electrical Engineering",8.51,0,43
"653","New Jersey Institute of Technology","Admit","AI_ML_DS","Fall 2020",168,150,3,318,100,"IIT Varanasi","Electrical Engineering",7.13,0,0
"654","Georgia Institute of Technology","Reject","Computer Science","Fall 2017",166,152,3.5,318,107,"IIT Varanasi","Computer Science",8.25,0,0
"655","Indiana University, Bloomington","Admit","AI_ML_DS","Fall 2019",167,151,3,318,106,"IIT Varanasi","Civil Engineering",7.85,0,0
"656","University of Massachusetts, Amherst","Admit","Computer Science","Fall 2019",170,165,4,335,117,"IIT Varanasi","Computer Science",8,0,31
"657","Rensselaer Polytechnic Institute","Admit","Civil Engineering","Fall 2014",166,157,3.5,323,111,"IIT Varanasi","Civil Engineering",8.4,0,0
"658","University of South Florida","Admit","Business Studies","Fall 2016",167,151,4,318,104,"IIT Varanasi","Civil Engineering",8.33,0,0
"659","Georgia Institute of Technology","Admit","Management Studies","Fall 2019",170,157,4,327,111,"IIT Varanasi","Mechanical Engineering",9.03,0,12
"660","University of California, Davis","Reject","Computer Science","Fall 2018",170,153,3.5,323,95,"IIT Varanasi","Electrical Engineering",8.02,0,0
"661","University of Southern California","Reject","Electrical Engineering","Fall 2017",167,156,0,323,105,"IIT Varanasi","Electrical Engineering",7.72,0,0
"662","University of North Carolina, Chapel Hill","Reject","Computer Science","Fall 2019",167,158,3.5,325,110,"IIT Varanasi","Computer Science",9.15,3,0
"663","Virginia Tech University","Admit","Mechanical Engineering","Fall 2019",170,157,4,327,111,"IIT Varanasi","Mechanical Engineering",9.03,0,12
"664","University of California, Irvine","Admit","Computer Science","Fall 2017",168,152,3,320,103,"IIT Varanasi","Electrical Engineering",7.8,0,0
"665","University of California, San Diego","Admit","Computer Science","Fall 2019",169,152,3.5,321,103,"IIT Varanasi","Electrical Engineering",9.21,0,0
"666","Carnegie Mellon University","Reject","Computer Science","Fall 2017",166,152,3.5,318,107,"IIT Varanasi","Computer Science",8.25,0,0
"667","University of Colorado, Boulder","Reject","Computer Science","Fall 2016",167,153,4,320,108,"IIT Varanasi","Electrical Engineering",8.16,0,0
"668","Johns Hopkins University","Admit","Mechanical Engineering","Fall 2020",168,153,5,321,118,"IIT Varanasi","Mechanical Engineering",8.62,1,7
"669","University of Michigan, Ann Arbor","Reject","Computer Science","Fall 2019",167,158,3.5,325,110,"IIT Varanasi","Computer Science",9.15,3,0
"670","University of Maryland, College Park","Reject","Computer Science","Fall 2020",169,154,3.5,323,107,"IIT Varanasi","Electrical Engineering",9.77,1,17
"671","University of Massachusetts, Amherst","Admit","Computer Science","Fall 2019",169,154,3,323,109,"IIT Varanasi","Computer Science",9.57,2,0
"672","University of California, San Diego","Reject","Computer Science","Fall 2017",168,155,3,323,106,"IIT Varanasi","Electrical Engineering",8.08,1,17
"673","University of Michigan, Ann Arbor","Admit","Mechanical Engineering","Fall 2019",170,157,4,327,111,"IIT Varanasi","Mechanical Engineering",9.03,0,12
"674","University of Texas, Dallas","Reject","Computer Science","Fall 2020",168,150,3,318,100,"IIT Varanasi","Electrical Engineering",7.13,0,0
"675","Northeastern University","Reject","AI_ML_DS","Fall 2020",168,150,3,318,100,"IIT Varanasi","Electrical Engineering",7.13,0,0
"676","University of Texas, Austin","Reject","Computer Science","Fall 2017",166,152,3.5,318,107,"IIT Varanasi","Computer Science",8.25,0,0
"677","Virginia Tech University","Admit","Computer Science","Fall 2017",168,152,3,320,103,"IIT Varanasi","Electrical Engineering",7.8,0,0
"678","Columbia University","Admit","AI_ML_DS","Fall 2019",169,162,3.5,331,108,"IIT Varanasi","Computer Science",8.29,0,17
"679","University of Maryland, College Park","Reject","Computer Science","Fall 2020",169,154,3.5,323,107,"IIT Varanasi","Electrical Engineering",9.77,1,17
"680","University of Massachusetts, Amherst","Admit","Computer Science","Fall 2019",169,154,3,323,109,"IIT Varanasi","Computer Science",9.57,2,0
"681","University of California, San Diego","Reject","Computer Science","Fall 2017",168,155,3,323,106,"IIT Varanasi","Electrical Engineering",8.08,1,17
"682","University of Michigan, Ann Arbor","Admit","Mechanical Engineering","Fall 2019",170,157,4,327,111,"IIT Varanasi","Mechanical Engineering",9.03,0,12
"683","University of Texas, Dallas","Reject","Computer Science","Fall 2020",168,150,3,318,100,"IIT Varanasi","Electrical Engineering",7.13,0,0
"684","Northeastern University","Reject","AI_ML_DS","Fall 2020",168,150,3,318,100,"IIT Varanasi","Electrical Engineering",7.13,0,0
"685","University of Texas, Austin","Reject","Computer Science","Fall 2017",166,152,3.5,318,107,"IIT Varanasi","Computer Science",8.25,0,0
"686","Virginia Tech University","Admit","Computer Science","Fall 2017",168,152,3,320,103,"IIT Varanasi","Electrical Engineering",7.8,0,0
"687","Columbia University","Admit","AI_ML_DS","Fall 2019",169,162,3.5,331,108,"IIT Varanasi","Computer Science",8.29,0,17
"688","Purdue University, West Lafayette","Admit","Mechanical Engineering","Fall 2015",168,162,4,330,114,"IIT Varanasi","Mechanical Engineering",7.76,0,0
"689","University of Southern California","Reject","Civil Engineering","Fall 2014",166,157,3.5,323,111,"IIT Varanasi","Civil Engineering",8.4,0,0
"690","North Carolina State University","Reject","Mechanical Engineering","Spring 2019",168,158,4,326,104,"IIT Varanasi","Mechanical Engineering",8,0,0
"691","University of Maryland, College Park","Reject","Computer Science","Fall 2019",167,158,3.5,325,110,"IIT Varanasi","Computer Science",9.15,3,0
